locus_tag	ftype	gene	EC_number	product
PALMKOPA_00401	CDS	metI	2.5.1.-	Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase
PALMKOPA_00402	CDS	metB_1	2.5.1.48	Cystathionine gamma-synthase
PALMKOPA_00403	CDS	hypothetical protein		
PALMKOPA_00404	CDS	dtd	3.1.1.96	D-aminoacyl-tRNA deacylase
PALMKOPA_00405	CDS	relA	2.7.6.5	GTP pyrophosphokinase
PALMKOPA_00406	CDS	hypothetical protein		
PALMKOPA_00407	CDS	rsmE	2.1.1.193	Ribosomal RNA small subunit methyltransferase E
PALMKOPA_00408	CDS	prmA	2.1.1.-	Ribosomal protein L11 methyltransferase
PALMKOPA_00409	CDS	hypothetical protein		
PALMKOPA_00410	CDS	hypothetical protein		
PALMKOPA_00411	CDS	ldh_1	1.1.1.27	L-lactate dehydrogenase
PALMKOPA_00412	CDS	hypothetical protein		
PALMKOPA_00413	CDS	hypothetical protein		
PALMKOPA_00414	CDS	hypothetical protein		
PALMKOPA_00415	CDS	nlhH_1	3.1.1.1	Carboxylesterase NlhH
PALMKOPA_00416	CDS	hypothetical protein		
PALMKOPA_00417	CDS	hypothetical protein		
PALMKOPA_00418	CDS	hypothetical protein		
PALMKOPA_00419	CDS	cas2	3.1.-.-	CRISPR-associated endoribonuclease Cas2
PALMKOPA_00420	CDS	cas1	3.1.-.-	CRISPR-associated endonuclease Cas1
PALMKOPA_00421	CDS	cas9-2	3.1.-.-	CRISPR-associated endonuclease Cas9 2
PALMKOPA_00422	CDS	hypothetical protein		
PALMKOPA_00423	CDS	thiM	2.7.1.50	Hydroxyethylthiazole kinase
PALMKOPA_00424	CDS	thiD	2.7.1.49	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
PALMKOPA_00425	CDS	thiE	2.5.1.3	Thiamine-phosphate synthase
PALMKOPA_00426	CDS	pdxK_1	2.7.1.35	Pyridoxine kinase
PALMKOPA_00427	CDS	psiE	Protein PsiE	
PALMKOPA_00428	CDS	hypothetical protein		
PALMKOPA_00429	CDS	gltB	1.4.1.13	Glutamate synthase [NADPH] small chain
PALMKOPA_00430	CDS	gltA	1.4.1.13	Glutamate synthase [NADPH] large chain
PALMKOPA_00431	CDS	xylB_1	1.1.1.90	Aryl-alcohol dehydrogenase
PALMKOPA_00432	CDS	adh_1	1.1.1.1	Alcohol dehydrogenase
PALMKOPA_00433	CDS	hypothetical protein		
PALMKOPA_00434	CDS	msrA_1	1.8.4.11	Peptide methionine sulfoxide reductase MsrA
PALMKOPA_00435	CDS	metQ_1	D-methionine-binding lipoprotein MetQ	
PALMKOPA_00436	CDS	msrA_2	1.8.4.11	Peptide methionine sulfoxide reductase MsrA
PALMKOPA_00437	CDS	ydfK_1	putative membrane protein YdfK	
PALMKOPA_00438	CDS	hypothetical protein		
PALMKOPA_00439	CDS	hypothetical protein		
PALMKOPA_00440	CDS	tkt_1	2.2.1.1	Transketolase
PALMKOPA_00441	CDS	rpiA_1	5.3.1.6	Ribose-5-phosphate isomerase A
PALMKOPA_00442	CDS	tal	2.2.1.2	putative transaldolase
PALMKOPA_00443	CDS	tkt_2	2.2.1.1	Transketolase
PALMKOPA_00444	CDS	glpT	Glycerol-3-phosphate transporter	
PALMKOPA_00445	CDS	hflK	Modulator of FtsH protease HflK	
PALMKOPA_00446	CDS	hypothetical protein		
PALMKOPA_00447	CDS	Putative universal stress protein		
PALMKOPA_00448	CDS	hypothetical protein		
PALMKOPA_00449	CDS	hypothetical protein		
PALMKOPA_00450	CDS	hypothetical protein		
PALMKOPA_00451	CDS	hypothetical protein		
PALMKOPA_00452	CDS	menH_2	4.2.99.20	"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase"
PALMKOPA_00453	CDS	ohrB	Organic hydroperoxide resistance protein OhrB	
PALMKOPA_00454	CDS	lplJ_1	6.3.1.20	Lipoate-protein ligase LplJ
PALMKOPA_00455	CDS	nhaK	"Sodium, potassium, lithium and rubidium/H(+) antiporter"	
PALMKOPA_00456	CDS	hypothetical protein		
PALMKOPA_00457	CDS	ykoC	Putative HMP/thiamine permease protein YkoC	
PALMKOPA_00458	CDS	ykoD	3.6.3.-	Putative HMP/thiamine import ATP-binding protein YkoD
PALMKOPA_00459	CDS	ykoE_1	Putative HMP/thiamine permease protein YkoE	
PALMKOPA_00460	CDS	rihA_1	3.2.-.-	Pyrimidine-specific ribonucleoside hydrolase RihA
PALMKOPA_00461	CDS	yumC	1.18.1.2	Ferredoxin--NADP reductase 2
PALMKOPA_00462	CDS	cadA_1	3.6.3.3	putative cadmium-transporting ATPase
PALMKOPA_00463	CDS	cadA_2	3.6.3.3	putative cadmium-transporting ATPase
PALMKOPA_00464	CDS	copZ_1	Copper chaperone CopZ	
PALMKOPA_00465	CDS	hypothetical protein		
PALMKOPA_00466	CDS	fnr_1	Anaerobic regulatory protein	
PALMKOPA_00467	CDS	hypothetical protein		
PALMKOPA_00468	CDS	ltaS1_2	Lipoteichoic acid synthase 1	
PALMKOPA_00469	CDS	gpmA_2	5.4.2.11	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"
PALMKOPA_00470	CDS	qorB_1	1.6.5.2	Quinone oxidoreductase 2
PALMKOPA_00471	CDS	pucK_1	Uric acid permease PucK	
PALMKOPA_00472	CDS	hypothetical protein		
PALMKOPA_00473	CDS	rluD_1	5.4.99.23	Ribosomal large subunit pseudouridine synthase D
PALMKOPA_00474	CDS	hypothetical protein		
PALMKOPA_00475	CDS	trxA_2	Thioredoxin	
PALMKOPA_00476	CDS	rbsK/rbiA_1	Bifunctional ribokinase/ribose-5-phosphate isomerase A	
PALMKOPA_00477	CDS	glxR	1.1.1.60	2-hydroxy-3-oxopropionate reductase
PALMKOPA_00478	CDS	ccpA_2	Catabolite control protein A	
PALMKOPA_00479	CDS	yusO	putative HTH-type transcriptional regulator YusO	
PALMKOPA_00480	CDS	putative ABC transporter ATP-binding protein		
PALMKOPA_00481	CDS	putative ABC transporter ATP-binding protein		
PALMKOPA_00482	CDS	pbpX_1	Putative penicillin-binding protein PbpX	
PALMKOPA_00483	CDS	clsA_1	2.7.8.-	Major cardiolipin synthase ClsA
PALMKOPA_00484	CDS	hypothetical protein		
PALMKOPA_00485	CDS	cobQ	Cobyric acid synthase	
PALMKOPA_00486	CDS	murF_1	6.3.2.10	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
PALMKOPA_00487	CDS	tdk	2.7.1.21	Thymidine kinase
PALMKOPA_00488	CDS	prfA	Peptide chain release factor 1	
PALMKOPA_00489	CDS	prmB	2.1.1.298	50S ribosomal protein L3 glutamine methyltransferase
PALMKOPA_00490	CDS	ywlC	2.7.7.87	Threonylcarbamoyl-AMP synthase
PALMKOPA_00491	CDS	glyA	2.1.2.1	Serine hydroxymethyltransferase
PALMKOPA_00492	CDS	upp	2.4.2.9	Uracil phosphoribosyltransferase
PALMKOPA_00493	CDS	hypothetical protein		
PALMKOPA_00494	CDS	hypothetical protein		
PALMKOPA_00495	CDS	pyrP	Uracil permease	
PALMKOPA_00496	CDS	atpB	ATP synthase subunit a	
PALMKOPA_00497	CDS	atpE	ATP synthase subunit c	
PALMKOPA_00498	CDS	atpF	ATP synthase subunit b	
PALMKOPA_00499	CDS	atpH	ATP synthase subunit delta	
PALMKOPA_00500	CDS	atpA	3.6.3.14	ATP synthase subunit alpha
PALMKOPA_00501	CDS	atpG	ATP synthase gamma chain	
PALMKOPA_00502	CDS	atpD	3.6.3.14	ATP synthase subunit beta
PALMKOPA_00503	CDS	atpC	ATP synthase epsilon chain	
PALMKOPA_00504	CDS	hypothetical protein		
PALMKOPA_00505	CDS	murA1_1	2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
PALMKOPA_00506	CDS	mreB_2	Rod shape-determining protein MreB	
PALMKOPA_00507	CDS	hypothetical protein		
PALMKOPA_00508	CDS	rodA	2.4.1.129	Peptidoglycan glycosyltransferase RodA
PALMKOPA_00509	CDS	gcvH	Glycine cleavage system H protein	
PALMKOPA_00510	CDS	hypothetical protein		
PALMKOPA_00511	CDS	ddl	6.3.2.4	D-alanine--D-alanine ligase
PALMKOPA_00512	CDS	hypothetical protein		
PALMKOPA_00513	CDS	Putative universal stress protein		
PALMKOPA_00514	CDS	hypothetical protein		
PALMKOPA_00515	CDS	putative AAA domain-containing protein		
PALMKOPA_00516	CDS	hypothetical protein		
PALMKOPA_00517	CDS	hypothetical protein		
PALMKOPA_00518	CDS	hypothetical protein		
PALMKOPA_00519	CDS	hypothetical protein		
PALMKOPA_00520	CDS	hypothetical protein		
PALMKOPA_00521	CDS	hypothetical protein		
PALMKOPA_00522	CDS	kup	Low affinity potassium transport system protein kup	
PALMKOPA_00523	CDS	hypothetical protein		
PALMKOPA_00524	CDS	glpK	2.7.1.30	Glycerol kinase
PALMKOPA_00525	CDS	5.3.2.-	putative tautomerase.1	
PALMKOPA_00526	CDS	kefC	Glutathione-regulated potassium-efflux system protein KefC	
PALMKOPA_00527	CDS	pepD	3.4.-.-	Dipeptidase
PALMKOPA_00528	CDS	hypothetical protein		
PALMKOPA_00529	CDS	gmuC	PTS system oligo-beta-mannoside-specific EIIC component	
PALMKOPA_00530	CDS	rpsN2	Alternate 30S ribosomal protein S14	
PALMKOPA_00531	CDS	hypothetical protein		
PALMKOPA_00532	CDS	qacA	Antiseptic resistance protein	
PALMKOPA_00533	CDS	yjhB	Putative metabolite transport protein YjhB	
PALMKOPA_00534	CDS	corC_1	Magnesium and cobalt efflux protein CorC	
PALMKOPA_00535	CDS	naiP_1	Putative niacin/nicotinamide transporter NaiP	
PALMKOPA_00536	CDS	hypothetical protein		
PALMKOPA_00537	CDS	hypothetical protein		
PALMKOPA_00538	CDS	hypothetical protein		
PALMKOPA_00539	CDS	lplJ_2	6.3.1.20	Lipoate-protein ligase LplJ
PALMKOPA_00540	CDS	pdhD	1.8.1.4	Dihydrolipoyl dehydrogenase
PALMKOPA_00541	CDS	pdhC	2.3.1.12	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
PALMKOPA_00542	CDS	pdhB	1.2.4.1	Pyruvate dehydrogenase E1 component subunit beta
PALMKOPA_00543	CDS	pdhA	1.2.4.1	Pyruvate dehydrogenase E1 component subunit alpha
PALMKOPA_00544	CDS	hypothetical protein		
PALMKOPA_00545	CDS	hypothetical protein		
PALMKOPA_00546	CDS	hypothetical protein		
PALMKOPA_00547	CDS	thrC	4.2.3.1	Threonine synthase
PALMKOPA_00548	CDS	hom_1	1.1.1.3	Homoserine dehydrogenase
PALMKOPA_00549	CDS	thrB_1	2.7.1.39	Homoserine kinase
PALMKOPA_00550	CDS	hypothetical protein		
PALMKOPA_00551	CDS	yhfK	4.-.-.-	putative sugar epimerase YhfK
PALMKOPA_00552	CDS	hypothetical protein		
PALMKOPA_00553	CDS	hypothetical protein		
PALMKOPA_00554	CDS	hypothetical protein		
PALMKOPA_00555	CDS	DegV domain-containing protein		
PALMKOPA_00556	CDS	hypothetical protein		
PALMKOPA_00557	CDS	hypothetical protein		
PALMKOPA_00558	CDS	ybhF	putative ABC transporter ATP-binding protein YbhF	
PALMKOPA_00559	CDS	ybhR	Inner membrane transport permease YbhR	
PALMKOPA_00560	CDS	mgsR	Regulatory protein MgsR	
PALMKOPA_00561	CDS	glpQ_1	3.1.4.46	Glycerophosphodiester phosphodiesterase
PALMKOPA_00562	CDS	yvgN_1	1.1.1.-	Glyoxal reductase
PALMKOPA_00563	CDS	addA	3.1.-.-	ATP-dependent helicase/nuclease subunit A
PALMKOPA_00564	CDS	addB	3.1.-.-	ATP-dependent helicase/deoxyribonuclease subunit B
PALMKOPA_00565	CDS	clsA_2	2.7.8.-	Major cardiolipin synthase ClsA
PALMKOPA_00566	CDS	clpC_1	putative ATP-dependent Clp protease ATP-binding subunit	
PALMKOPA_00567	CDS	hypothetical protein		
PALMKOPA_00568	CDS	patA_1	2.6.1.-	Putative N-acetyl-LL-diaminopimelate aminotransferase
PALMKOPA_00569	CDS	ldhD	1.1.1.28	D-lactate dehydrogenase
PALMKOPA_00570	CDS	menH_3	4.2.99.20	"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase"
PALMKOPA_00571	CDS	3.5.1.11	Penicillin acylase	
PALMKOPA_00572	CDS	hypothetical protein		
PALMKOPA_00573	CDS	yvdM	5.4.2.6	Beta-phosphoglucomutase
PALMKOPA_00574	CDS	malP	2.4.1.8	Maltose phosphorylase
PALMKOPA_00575	CDS	hypothetical protein		
PALMKOPA_00576	CDS	malR	HTH-type transcriptional regulator MalR	
PALMKOPA_00577	CDS	ywnA_1	Putative HTH-type transcriptional regulator YwnA	
PALMKOPA_00578	CDS	rlmH	2.1.1.177	Ribosomal RNA large subunit methyltransferase H
PALMKOPA_00579	CDS	htrA	3.4.21.107	Serine protease Do-like HtrA
PALMKOPA_00580	CDS	yycJ	3.-.-.-	Putative metallo-hydrolase YycJ
PALMKOPA_00581	CDS	hypothetical protein		
PALMKOPA_00582	CDS	hypothetical protein		
PALMKOPA_00583	CDS	walK	2.7.13.3	Sensor protein kinase WalK
PALMKOPA_00584	CDS	walR	Transcriptional regulatory protein WalR	
PALMKOPA_00585	tRNA	tRNA-Lys(ctt)		
PALMKOPA_00586	CDS	ctsR	Transcriptional regulator CtsR	
PALMKOPA_00587	CDS	clpC_2	Negative regulator of genetic competence ClpC/MecB	
PALMKOPA_00588	CDS	bepR	HTH-type transcriptional repressor BepR	
PALMKOPA_00589	CDS	rpoB	2.7.7.6	DNA-directed RNA polymerase subunit beta
PALMKOPA_00590	CDS	rpoC	2.7.7.6	DNA-directed RNA polymerase subunit beta'
PALMKOPA_00591	CDS	2.4.2.-	Putative glutamine amidotransferase	
PALMKOPA_00592	CDS	hypothetical protein		
PALMKOPA_00593	CDS	comC	Type 4 prepilin-like proteins leader peptide-processing enzyme	
PALMKOPA_00594	CDS	rpsL	30S ribosomal protein S12	
PALMKOPA_00595	CDS	rpsG	30S ribosomal protein S7	
PALMKOPA_00596	CDS	fus	Elongation factor G	
PALMKOPA_00597	CDS	rpsJ	30S ribosomal protein S10	
PALMKOPA_00598	CDS	rplC	50S ribosomal protein L3	
PALMKOPA_00599	CDS	rplD	50S ribosomal protein L4	
PALMKOPA_00600	CDS	rplW	50S ribosomal protein L23	
PALMKOPA_00601	CDS	rplB	50S ribosomal protein L2	
PALMKOPA_00602	CDS	rpsS	30S ribosomal protein S19	
PALMKOPA_00603	CDS	rplV	50S ribosomal protein L22	
PALMKOPA_00604	CDS	rpsC	30S ribosomal protein S3	
PALMKOPA_00605	CDS	rplP	50S ribosomal protein L16	
PALMKOPA_00606	CDS	rpmC	50S ribosomal protein L29	
PALMKOPA_00607	CDS	rpsQ	30S ribosomal protein S17	
PALMKOPA_00608	CDS	rplN	50S ribosomal protein L14	
PALMKOPA_00609	CDS	rplX	50S ribosomal protein L24	
PALMKOPA_00610	CDS	rplE	50S ribosomal protein L5	
PALMKOPA_00611	CDS	rpsN1	30S ribosomal protein S14	
PALMKOPA_00612	CDS	rpsH	30S ribosomal protein S8	
PALMKOPA_00613	CDS	rplF	50S ribosomal protein L6	
PALMKOPA_00614	CDS	rplR	50S ribosomal protein L18	
PALMKOPA_00615	CDS	rpsE	30S ribosomal protein S5	
PALMKOPA_00616	CDS	rpmD	50S ribosomal protein L30	
PALMKOPA_00617	CDS	rplO	50S ribosomal protein L15	
PALMKOPA_00618	CDS	secY	Protein translocase subunit SecY	
PALMKOPA_00619	CDS	adk	2.7.4.3	Adenylate kinase
PALMKOPA_00620	CDS	infA	Translation initiation factor IF-1	
PALMKOPA_00621	CDS	rpmJ	50S ribosomal protein L36	
PALMKOPA_00622	CDS	rpsM	30S ribosomal protein S13	
PALMKOPA_00623	CDS	rpsK	30S ribosomal protein S11	
PALMKOPA_00624	CDS	rpoA	2.7.7.6	DNA-directed RNA polymerase subunit alpha
PALMKOPA_00625	CDS	rplQ	50S ribosomal protein L17	
PALMKOPA_00626	CDS	ecfA1_1	3.6.3.-	Energy-coupling factor transporter ATP-binding protein EcfA1
PALMKOPA_00627	CDS	ecfA2	3.6.3.-	Energy-coupling factor transporter ATP-binding protein EcfA2
PALMKOPA_00628	CDS	ecfT	Energy-coupling factor transporter transmembrane protein EcfT	
PALMKOPA_00629	CDS	truA	5.4.99.12	tRNA pseudouridine synthase A
PALMKOPA_00630	CDS	rplM	50S ribosomal protein L13	
PALMKOPA_00631	CDS	rpsI	30S ribosomal protein S9	
PALMKOPA_00632	CDS	idnD	1.1.1.264	L-idonate 5-dehydrogenase (NAD(P)(+))
PALMKOPA_00633	CDS	hypothetical protein		
PALMKOPA_00634	CDS	hypothetical protein		
PALMKOPA_00635	CDS	lolD	3.6.3.-	Lipoprotein-releasing system ATP-binding protein LolD
PALMKOPA_00636	CDS	argR_1	Arginine repressor	
PALMKOPA_00637	CDS	ziaR	Transcriptional repressor SmtB 	
PALMKOPA_00638	CDS	3.2.1.-	Autolysin	
PALMKOPA_00639	CDS	degA_1	HTH-type transcriptional regulator DegA	
PALMKOPA_00640	CDS	hypothetical protein		
PALMKOPA_00641	CDS	hypothetical protein		
PALMKOPA_00642	CDS	efp	Elongation factor P	
PALMKOPA_00643	CDS	nnr	Bifunctional NAD(P)H-hydrate repair enzyme Nnr	
PALMKOPA_00644	CDS	hypothetical protein		
PALMKOPA_00645	CDS	ywrO_2	1.6.99.-	General stress protein 14
PALMKOPA_00646	CDS	hypothetical protein		
PALMKOPA_00647	CDS	hypothetical protein		
PALMKOPA_00648	CDS	3.2.2.-	Putative 3-methyladenine DNA glycosylase	
PALMKOPA_00649	CDS	hypothetical protein		
PALMKOPA_00650	CDS	hypothetical protein		
PALMKOPA_00651	CDS	hypothetical protein		
PALMKOPA_00652	CDS	pbuG	Guanine/hypoxanthine permease PbuG	
PALMKOPA_00653	CDS	pepO	3.4.24.-	Neutral endopeptidase
PALMKOPA_00654	CDS	ymdB	3.5.1.-	O-acetyl-ADP-ribose deacetylase
PALMKOPA_00655	CDS	hypothetical protein		
PALMKOPA_00656	CDS	greA_2	Transcription elongation factor GreA	
PALMKOPA_00657	CDS	1.1.1.81	Hydroxypyruvate reductase	
PALMKOPA_00658	CDS	hypothetical protein		
PALMKOPA_00659	CDS	putative amino-acid ABC transporter-binding protein		
PALMKOPA_00660	CDS	tcyB_1	L-cystine transport system permease protein TcyB	
PALMKOPA_00661	CDS	artM_2	Arginine transport ATP-binding protein ArtM	
PALMKOPA_00662	CDS	hypothetical protein		
PALMKOPA_00663	CDS	hypothetical protein		
PALMKOPA_00664	CDS	iphP	3.1.3.48	Tyrosine-protein phosphatase
PALMKOPA_00665	CDS	hypothetical protein		
PALMKOPA_00666	CDS	galK_1	2.7.1.6	Galactokinase
PALMKOPA_00667	CDS	galT	2.7.7.12	Galactose-1-phosphate uridylyltransferase
PALMKOPA_00668	CDS	lacR_1	HTH-type transcriptional regulator LacR	
PALMKOPA_00669	CDS	agaSK	Bifunctional alpha-galactosidase/sucrose kinase AgaSK	
PALMKOPA_00670	CDS	lacS_1	Lactose permease	
PALMKOPA_00671	CDS	ntpJ	Potassium/sodium uptake protein NtpJ	
PALMKOPA_00672	CDS	ktrA	Ktr system potassium uptake protein A	
PALMKOPA_00673	CDS	trmK	2.1.1.217	tRNA (adenine(22)-N(1))-methyltransferase
PALMKOPA_00674	CDS	GTP cyclohydrolase 1 type 2 		
PALMKOPA_00675	CDS	pepT	3.4.11.4	Peptidase T
PALMKOPA_00676	CDS	hypothetical protein		
PALMKOPA_00677	CDS	dnaE	2.7.7.7	DNA polymerase III subunit alpha
PALMKOPA_00678	CDS	pyk	2.7.1.40	Pyruvate kinase
PALMKOPA_00679	CDS	cvfB	Conserved virulence factor B	
PALMKOPA_00680	CDS	xerD_1	Tyrosine recombinase XerD	
PALMKOPA_00681	CDS	hypothetical protein		
PALMKOPA_00682	CDS	scpA	Segregation and condensation protein A	
PALMKOPA_00683	CDS	scpB	Segregation and condensation protein B	
PALMKOPA_00684	CDS	rluB	5.4.99.22	Ribosomal large subunit pseudouridine synthase B
PALMKOPA_00685	CDS	ribU	Riboflavin transporter RibU	
PALMKOPA_00686	CDS	hypothetical protein		
PALMKOPA_00687	CDS	recQ	3.6.4.12	ATP-dependent DNA helicase RecQ
PALMKOPA_00688	CDS	hypothetical protein		
PALMKOPA_00689	CDS	cmk	2.7.4.25	Cytidylate kinase
PALMKOPA_00690	CDS	rps1	30S ribosomal protein S1	
PALMKOPA_00691	CDS	der_2	GTPase Der	
PALMKOPA_00692	CDS	hup	DNA-binding protein HU	
PALMKOPA_00693	CDS	bepA	3.4.-.-	Beta-barrel assembly-enhancing protease
PALMKOPA_00694	CDS	xerC_1	Tyrosine recombinase XerC	
PALMKOPA_00695	CDS	cca	2.7.7.72	CCA-adding enzyme
PALMKOPA_00696	CDS	ettA	Energy-dependent translational throttle protein EttA	
PALMKOPA_00697	CDS	thyA	2.1.1.45	Thymidylate synthase
PALMKOPA_00698	CDS	dfrA	1.5.1.3	Dihydrofolate reductase
PALMKOPA_00699	CDS	hypothetical protein		
PALMKOPA_00700	CDS	DegV domain-containing protein		
PALMKOPA_00701	CDS	1.1.1.81	Hydroxypyruvate reductase	
PALMKOPA_00702	CDS	cat	2.3.1.28	Chloramphenicol acetyltransferase
PALMKOPA_00703	CDS	lipC	3.-.-.-	Spore germination lipase LipC
PALMKOPA_00704	CDS	hypothetical protein		
PALMKOPA_00705	CDS	hypothetical protein		
PALMKOPA_00706	tRNA	tRNA-Val(tac)		
PALMKOPA_00707	tRNA	tRNA-Lys(ttt)		
PALMKOPA_00708	tRNA	tRNA-Thr(tgt)		
PALMKOPA_00709	tRNA	tRNA-Gly(gcc)		
PALMKOPA_00710	tRNA	tRNA-Leu(taa)		
PALMKOPA_00711	tRNA	tRNA-Arg(acg)		
PALMKOPA_00712	tRNA	tRNA-Pro(tgg)		
PALMKOPA_00713	tRNA	tRNA-Met(cat)		
PALMKOPA_00714	tRNA	tRNA-Met(cat)		
PALMKOPA_00715	tRNA	tRNA-Ser(tga)		
PALMKOPA_00716	tRNA	tRNA-Met(cat)		
PALMKOPA_00717	tRNA	tRNA-Asp(gtc)		
PALMKOPA_00718	tRNA	tRNA-Phe(gaa)		
PALMKOPA_00719	tRNA	tRNA-Gly(tcc)		
PALMKOPA_00720	tRNA	tRNA-Ile(gat)		
PALMKOPA_00721	tRNA	tRNA-Ser(gct)		
PALMKOPA_00722	tRNA	tRNA-Glu(ttc)		
PALMKOPA_00723	tRNA	tRNA-Met(cat)		
PALMKOPA_00724	tRNA	tRNA-Asp(gtc)		
PALMKOPA_00725	CDS	hypothetical protein		
PALMKOPA_00726	CDS	spxA_2	Regulatory protein Spx	
PALMKOPA_00727	CDS	mecA	Adapter protein MecA 1	
PALMKOPA_00728	CDS	coiA	Competence protein CoiA	
PALMKOPA_00729	CDS	hypothetical protein		
PALMKOPA_00730	CDS	yjbM_2	2.7.6.5	GTP pyrophosphokinase YjbM
PALMKOPA_00731	CDS	nadK	2.7.1.23	NAD kinase
PALMKOPA_00732	CDS	5.4.99.-	putative RNA pseudouridine synthase	
PALMKOPA_00733	CDS	pgl_1	3.1.1.31	6-phosphogluconolactonase
PALMKOPA_00734	CDS	rlmA	2.1.1.187	23S rRNA (guanine(745)-N(1))-methyltransferase
PALMKOPA_00735	CDS	trmL	2.1.1.207	tRNA (cytidine(34)-2'-O)-methyltransferase
PALMKOPA_00736	CDS	spoIIIE	DNA translocase SpoIIIE	
PALMKOPA_00737	CDS	hypothetical protein		
PALMKOPA_00738	CDS	hypothetical protein		
PALMKOPA_00739	CDS	mraZ	Transcriptional regulator MraZ	
PALMKOPA_00740	CDS	rsmH	2.1.1.199	Ribosomal RNA small subunit methyltransferase H
PALMKOPA_00741	CDS	ftsL	Cell division protein FtsL	
PALMKOPA_00742	CDS	pbpB	Penicillin-binding protein 2B	
PALMKOPA_00743	CDS	mraY	2.7.8.13	Phospho-N-acetylmuramoyl-pentapeptide-transferase
PALMKOPA_00744	CDS	murD	6.3.2.9	UDP-N-acetylmuramoylalanine--D-glutamate ligase
PALMKOPA_00745	CDS	murG	2.4.1.227	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
PALMKOPA_00746	CDS	divIB	Cell division protein DivIB	
PALMKOPA_00747	CDS	ftsA	Cell division protein FtsA	
PALMKOPA_00748	CDS	ftsZ	Cell division protein FtsZ	
PALMKOPA_00749	CDS	sepF	Cell division protein SepF	
PALMKOPA_00750	CDS	hypothetical protein		
PALMKOPA_00751	CDS	hypothetical protein		
PALMKOPA_00752	CDS	divIVA	Septum site-determining protein DivIVA	
PALMKOPA_00753	CDS	hypothetical protein		
PALMKOPA_00754	CDS	ileS	6.1.1.5	Isoleucine--tRNA ligase
PALMKOPA_00755	CDS	csp	Cold shock-like protein	
PALMKOPA_00756	CDS	act	3.-.-.-	Methanol dehydrogenase activator
PALMKOPA_00757	CDS	hypothetical protein		
PALMKOPA_00758	CDS	mtnN	3.2.2.9	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
PALMKOPA_00759	CDS	hypothetical protein		
PALMKOPA_00760	CDS	mnmA	2.8.1.13	tRNA-specific 2-thiouridylase MnmA
PALMKOPA_00761	CDS	yxeN	putative amino-acid permease protein YxeN	
PALMKOPA_00762	CDS	yxeO	3.6.3.-	putative amino-acid import ATP-binding protein YxeO
PALMKOPA_00763	CDS	yxeP	3.-.-.-	putative hydrolase YxeP
PALMKOPA_00764	CDS	pcaB	5.5.1.2	"3-carboxy-cis,cis-muconate cycloisomerase"
PALMKOPA_00765	CDS	hypothetical protein		
PALMKOPA_00766	CDS	hypothetical protein		
PALMKOPA_00767	CDS	glnP_1	Glutamine transport system permease protein GlnP	
PALMKOPA_00768	CDS	tcyB_2	L-cystine transport system permease protein TcyB	
PALMKOPA_00769	CDS	glnQ_2	Glutamine transport ATP-binding protein GlnQ	
PALMKOPA_00770	CDS	glnH	ABC transporter glutamine-binding protein GlnH	
PALMKOPA_00771	CDS	1.1.1.51	3-beta-hydroxysteroid dehydrogenase	
PALMKOPA_00772	CDS	hypothetical protein		
PALMKOPA_00773	CDS	hom_2	1.1.1.3	Homoserine dehydrogenase
PALMKOPA_00774	CDS	metA	2.3.1.46	Homoserine O-succinyltransferase
PALMKOPA_00775	CDS	rocC	Amino-acid permease RocC	
PALMKOPA_00776	CDS	mmuM	2.1.1.10	Homocysteine S-methyltransferase
PALMKOPA_00777	CDS	hypothetical protein		
PALMKOPA_00778	CDS	lytC	3.5.1.28	N-acetylmuramoyl-L-alanine amidase LytC
PALMKOPA_00779	CDS	6.3.1.20	Lipoate--protein ligase 2	
PALMKOPA_00780	CDS	hisS	6.1.1.21	Histidine--tRNA ligase
PALMKOPA_00781	CDS	aspS	6.1.1.12	Aspartate--tRNA ligase
PALMKOPA_00782	CDS	hypothetical protein		
PALMKOPA_00783	CDS	rpsU	30S ribosomal protein S21	
PALMKOPA_00784	CDS	hypothetical protein		
PALMKOPA_00785	CDS	PhoH-like protein		
PALMKOPA_00786	CDS	ybeY	3.1.-.-	Endoribonuclease YbeY
PALMKOPA_00787	CDS	dgkA	2.7.1.66	Undecaprenol kinase
PALMKOPA_00788	CDS	era	GTPase Era	
PALMKOPA_00789	CDS	recO	DNA repair protein RecO	
PALMKOPA_00790	CDS	glyQ	6.1.1.14	Glycine--tRNA ligase alpha subunit
PALMKOPA_00791	CDS	glyS	6.1.1.14	Glycine--tRNA ligase beta subunit
PALMKOPA_00792	CDS	dnaG	2.7.7.-	DNA primase
PALMKOPA_00793	CDS	sigA	RNA polymerase sigma factor SigA	
